VS_01_base_inf_pas	1	770	500	YES
VS_02_lat_izq_base	1	702	500	YES
VS_03_lat_der_base	1	702	500	YES
VS_04_riel_sup_front_sop	1	734	100	YES
VS_05_riel_sup_tras_sop	1	734	100	YES
VS_06_est_reg_comp	1	734	470	YES
VS_17_faja_cent_izq_sop	1	500	180	YES
VS_18_faja_cent_der_sop	1	500	180	YES
VS_07_fte_caj_izq	1	380	180	YES
VS_08_fte_caj_der	1	380	180	YES
VS_09_pta_inf_izq	1	510	380	YES
VS_10_pta_inf_der	1	510	380	YES
VS_11a_lat_izq_caj_izq	1	300	140	YES
VS_11b_lat_der_caj_izq	1	300	140	YES
VS_11c_trasfte_caj_izq	1	283	140	YES
VS_11d_ctrfte_caj_izq	1	283	140	YES
VS_12a_lat_izq_caj_der	1	300	140	YES
VS_12b_lat_der_caj_der	1	300	140	YES
VS_12c_trasfte_caj_der	1	283	140	YES
VS_12d_ctrfte_caj_der	1	283	140	YES
