AA10_Liston_Fijo_90	1	894	90	SI	0	0	0	0
AA11_Extractor_Ref	1	590	470	SI	0	0	0	0
AA1_Lateral_Izq	1	674	320	SI	0	1	0	0
AA2_Lateral_Der	1	674	320	SI	1	0	0	0
AA3_Piso_Casco	1	903	320	SI	0	0	0	1
AA4_Tapa_Casco	1	903	320	SI	0	0	0	1
AA8_Frente_Izq	1	666	448	SI	1	1	1	1
AA9_Frente_Der	1	666	448	SI	1	1	1	1
AB10_Divisor_Der_Puerta_Central	1	455	320	SI	1	1	1	1
AB1_Lateral_Izq	1	455	320	SI	0	1	0	0
AB2_Lateral_Der	1	455	320	SI	1	0	0	0
AB3_Piso	1	1319	296	SI	0	0	0	1
AB4_Tapa	1	1355	320	SI	0	0	0	1
AB6_Puerta_1	1	448	447	SI	1	1	1	1
AB7_Puerta_2	1	449	447	SI	1	1	1	1
AB8_Puerta_3	1	447	447	SI	1	1	1	1
BA10_Frente_Mid	1	903	293	SI	1	1	1	1
BA11_Frente_Bot	1	903	293	SI	1	1	1	1
BA14_Caja_Mid_Frente_Caja	1	500	180	SI	1	1	1	1
BA14_Caja_Mid_Lateral_Der	1	500	180	SI	1	0	0	0
BA14_Caja_Mid_Lateral_Izq	1	500	180	SI	0	1	0	0
BA14_Caja_Mid_Trasera_Caja	1	500	180	SI	0	0	0	0
BA15_Caja_Bot_Frente_Caja	1	500	180	SI	1	1	1	1
BA15_Caja_Bot_Lateral_Der	1	500	180	SI	1	0	0	0
BA15_Caja_Bot_Lateral_Izq	1	500	180	SI	0	1	0	0
BA15_Caja_Bot_Trasera_Caja	1	500	180	SI	0	0	0	0
BA1_Lateral_Izq	1	772	600	SI	0	1	0	0
BA2_Lateral_Der	1	772	600	SI	1	0	0	0
BA3_Piso_Pasante	1	903	600	SI	0	0	0	1
BA5_Soporte_Superior_Frente	1	867	100	SI	1	1	1	1
BA6_Soporte_Superior_Fondo	1	867	100	SI	0	0	0	1
BA9_Frente_Falso_Sup	1	903	139	SI	1	1	1	1
BB10_Frente_Mid_Izq	1	672	293	SI	1	1	1	1
BB11_Frente_Mid_Der	1	679	293	SI	1	1	1	1
BB12_Frente_Bot_Izq	1	672	293	SI	1	1	1	1
BB13_Frente_Bot_Der	1	679	293	SI	1	1	1	1
BB14_Caja_Top_Izq_Frente_Caja	1	500	60	SI	1	1	1	1
BB14_Caja_Top_Izq_Lateral_Der	1	500	60	SI	0	1	0	0
BB14_Caja_Top_Izq_Lateral_Izq	1	500	60	SI	0	1	0	0
BB14_Caja_Top_Izq_Trasera_Caja	1	500	60	SI	0	0	0	0
BB15_Caja_Top_Der_Frente_Caja	1	500	60	SI	1	1	1	1
BB15_Caja_Top_Der_Lateral_Der	1	500	60	SI	1	0	0	0
BB15_Caja_Top_Der_Lateral_Izq	1	500	60	SI	0	1	0	0
BB15_Caja_Top_Der_Trasera_Caja	1	500	60	SI	0	0	0	0
BB16_Caja_Mid_Izq_Frente_Caja	1	500	180	SI	1	1	1	1
BB16_Caja_Mid_Izq_Lateral_Der	1	500	180	SI	0	1	0	0
BB16_Caja_Mid_Izq_Lateral_Izq	1	500	180	SI	0	1	0	0
BB16_Caja_Mid_Izq_Trasera_Caja	1	500	180	SI	0	0	0	0
BB17_Caja_Mid_Der_Frente_Caja	1	500	180	SI	1	1	1	1
BB17_Caja_Mid_Der_Lateral_Der	1	500	180	SI	1	0	0	0
BB17_Caja_Mid_Der_Lateral_Izq	1	500	180	SI	0	1	0	0
BB17_Caja_Mid_Der_Trasera_Caja	1	500	180	SI	0	0	0	0
BB18_Caja_Bot_Izq_Frente_Caja	1	500	180	SI	1	1	1	1
BB18_Caja_Bot_Izq_Lateral_Der	1	500	180	SI	0	1	0	0
BB18_Caja_Bot_Izq_Lateral_Izq	1	500	180	SI	0	1	0	0
BB18_Caja_Bot_Izq_Trasera_Caja	1	500	180	SI	0	0	0	0
BB19_Caja_Bot_Der_Frente_Caja	1	500	180	SI	1	1	1	1
BB19_Caja_Bot_Der_Lateral_Der	1	500	180	SI	1	0	0	0
BB19_Caja_Bot_Der_Lateral_Izq	1	500	180	SI	0	1	0	0
BB19_Caja_Bot_Der_Trasera_Caja	1	500	180	SI	0	0	0	0
BB1_Lateral_Izq	1	772	600	SI	0	1	0	0
BB2_Lateral_Der	1	772	600	SI	1	0	0	0
BB3_Piso_Pasante	1	1355	600	SI	0	0	0	1
BB5_Soporte_Superior_Frente	1	1319	100	SI	1	1	1	1
BB6_Soporte_Superior_Fondo	1	1319	100	SI	0	0	0	1
BB7_Divisor_Central	1	772	600	SI	1	0	0	0
BB8_Frente_Top_Izq	1	672	139	SI	1	1	1	1
