uid,source,module,code,name,board,x,y,w,h,rotated
vanitory_reforma_770_white_18mm_1_1,vanitory_reforma_770_white_18mm.tsv,VS,VS,VS_01_base_inf_pas,1,123,772,770,500,False
vanitory_reforma_770_white_18mm_2_1,vanitory_reforma_770_white_18mm.tsv,VS,VS,VS_02_lat_izq_base,1,1212,1300,702,500,False
vanitory_reforma_770_white_18mm_3_1,vanitory_reforma_770_white_18mm.tsv,VS,VS,VS_03_lat_der_base,1,507,1307,702,500,False
vanitory_reforma_770_white_18mm_4_1,vanitory_reforma_770_white_18mm.tsv,VS,VS,VS_04_riel_sup_front_sop,1,1946,776,734,100,False
vanitory_reforma_770_white_18mm_5_1,vanitory_reforma_770_white_18mm.tsv,VS,VS,VS_05_riel_sup_tras_sop,1,1891,650,734,100,False
vanitory_reforma_770_white_18mm_6_1,vanitory_reforma_770_white_18mm.tsv,VS,VS,VS_06_est_reg_comp,1,1917,1332,734,470,False
vanitory_reforma_770_white_18mm_7_1,vanitory_reforma_770_white_18mm.tsv,VS,VS,VS_17_faja_cent_izq_sop,1,2221,879,500,180,False
vanitory_reforma_770_white_18mm_8_1,vanitory_reforma_770_white_18mm.tsv,VS,VS,VS_18_faja_cent_der_sop,1,2531,1,180,500,True
vanitory_reforma_770_white_18mm_9_1,vanitory_reforma_770_white_18mm.tsv,VS,VS,VS_07_fte_caj_izq,1,1556,753,380,180,False
vanitory_reforma_770_white_18mm_10_1,vanitory_reforma_770_white_18mm.tsv,VS,VS,VS_08_fte_caj_der,1,1446,1110,380,180,False
vanitory_reforma_770_white_18mm_11_1,vanitory_reforma_770_white_18mm.tsv,VS,VS,VS_09_pta_inf_izq,1,1739,1,510,380,False
vanitory_reforma_770_white_18mm_12_1,vanitory_reforma_770_white_18mm.tsv,VS,VS,VS_10_pta_inf_der,1,1161,185,510,380,False
vanitory_reforma_770_white_18mm_13_1,vanitory_reforma_770_white_18mm.tsv,VS,VS,VS_11a_lat_izq_caj_izq,1,1674,384,300,140,False
vanitory_reforma_770_white_18mm_14_1,vanitory_reforma_770_white_18mm.tsv,VS,VS,VS_11b_lat_der_caj_izq,1,5,1458,300,140,False
vanitory_reforma_770_white_18mm_15_1,vanitory_reforma_770_white_18mm.tsv,VS,VS,VS_11c_trasfte_caj_izq,1,2,0,283,140,False
vanitory_reforma_770_white_18mm_16_1,vanitory_reforma_770_white_18mm.tsv,VS,VS,VS_11d_ctrfte_caj_izq,1,0,143,283,140,False
vanitory_reforma_770_white_18mm_17_1,vanitory_reforma_770_white_18mm.tsv,VS,VS,VS_12a_lat_izq_caj_der,1,0,286,300,140,False
vanitory_reforma_770_white_18mm_18_1,vanitory_reforma_770_white_18mm.tsv,VS,VS,VS_12b_lat_der_caj_der,1,0,429,300,140,False
vanitory_reforma_770_white_18mm_19_1,vanitory_reforma_770_white_18mm.tsv,VS,VS,VS_12c_trasfte_caj_der,1,0,572,283,140,False
vanitory_reforma_770_white_18mm_20_1,vanitory_reforma_770_white_18mm.tsv,VS,VS,VS_12d_ctrfte_caj_der,1,0,1275,283,140,False
