board_idx,uid,module,code,name,x_mm,y_mm,cut_w_mm,cut_h_mm,part_w_mm,part_h_mm,rotated,cantos
1,AB_AC1_1,AB,AC1,AC_Lateral_Izq,0,0,276,323,273,320,0,Crudo (enchapar en obra)
1,AB_AC2_1,AB,AC2,AC_Lateral_Der,276,0,276,323,273,320,0,Crudo (enchapar en obra)
1,AB_AC3_1,AB,AC3,AC_Piso,552,0,323,1358,1355,320,1,Crudo (enchapar en obra)
1,AB_AC4_1,AB,AC4,AC_Tapa,875,0,323,1358,1355,320,1,Crudo (enchapar en obra)
1,AB_AC6_1,AB,AC6,AC_Lateral_Izq_Interior,1198,0,276,323,273,320,0,Crudo (enchapar en obra)
1,AB_AC7_1,AB,AC7,AC_Lateral_Der_Interior,1474,0,276,323,273,320,0,Crudo (enchapar en obra)
1,AB_AC8_1,AB,AC8,AC_Piso_Interior,1750,0,323,1286,1283,320,1,Crudo (enchapar en obra)
1,AB_AC9_1,AB,AC9,AC_Tapa_Interior,2073,0,323,1286,1283,320,1,Crudo (enchapar en obra)
1,AB_AC5_1,AB,AC5,AC_Fondo_18mm,2396,0,276,1286,1283,273,1,Crudo (enchapar en obra)
