group,pieces,boards_used,board_usable_w_mm,board_usable_h_mm,kerf_mm,margin_mm,utilization_pct,waste_pct
blanco_18mm,151,10,2800,1810,3,10,84.13,15.87
fondo_3mm,6,2,2800,1810,3,10,60.98,39.02
fondo_6mm,12,1,2800,1810,3,10,73.63,26.37
paraiso_18mm,9,1,2800,1810,3,10,47.74,52.26
