board_idx,uid,module,code,name,x_mm,y_mm,cut_w_mm,cut_h_mm,part_w_mm,part_h_mm,rotated,cantos
10,BB_BB19a_1,BB,BB19a,BB19_Caja_Bot_Der_Lateral,0,549,503,183,500,180,0,Sin canto
10,BB_BB19a_2,BB,BB19a,BB19_Caja_Bot_Der_Lateral,503,549,503,183,500,180,0,Sin canto
10,I_I21b_2,I,I21b,I21_Cajon_Inf_Frente_Trasera,1006,549,372,173,369,170,0,Sin canto
10,I_I19a_1,I,I19a,I19_Cajon_Sup_Lateral,1378,549,309,173,306,170,0,Sin canto
10,I_I19a_2,I,I19a,I19_Cajon_Sup_Lateral,1687,549,309,173,306,170,0,Sin canto
10,I_I20a_1,I,I20a,I20_Cajon_Med_Lateral,1996,549,309,173,306,170,0,Sin canto
10,I_I20a_2,I,I20a,I20_Cajon_Med_Lateral,2305,549,309,173,306,170,0,Sin canto
10,I_I21a_1,I,I21a,I21_Cajon_Inf_Lateral,0,732,309,173,306,170,0,Sin canto
10,I_I21a_2,I,I21a,I21_Cajon_Inf_Lateral,309,732,309,173,306,170,0,Sin canto
10,H_H13_1,H,H13,Faja_Frontal_Superior_Micro_50,618,732,639,53,636,50,0,Cantos vistos
10,BB_BB15a_1,BB,BB15a,BB15_Caja_Top_Der_Lateral,1257,732,503,63,500,60,0,Sin canto
10,BB_BB15a_2,BB,BB15a,BB15_Caja_Top_Der_Lateral,1760,732,503,63,500,60,0,Sin canto
